domain,var,source_info,missing_rate,n_nonnull,year_min,year_max
WDI,AG.LND.ARBL.HA.PC,SeriesName=Arable land (hectares per person),0.2857142857142857,8100,2018,2022
WDI,AG.LND.ARBL.ZS,SeriesName=Arable land (% of land area),0.1439153439153439,9708,2018,2023
WDI,AG.LND.CREL.HA,SeriesName=Land under cereal production (hectares),0.14285714285714285,9720,2018,2023
WDI,AG.LND.CROP.ZS,SeriesName=Permanent cropland (% of land area),0.1439153439153439,9708,2018,2023
WDI,AG.LND.FRST.K2,SeriesName=Forest area (sq. km),0.1439153439153439,9708,2018,2023
WDI,AG.LND.FRST.ZS,SeriesName=Forest area (% of land area),0.1439153439153439,9708,2018,2023
WDI,AG.LND.PRCP.MM,SeriesName=Average precipitation in depth (mm per year),0.2962962962962963,7980,2018,2022
WDI,AG.LND.TOTL.K2,SeriesName=Land area (sq. km),0.1439153439153439,9708,2018,2023
WDI,AG.PRD.CREL.MT,SeriesName=Cereal production (metric tons),0.14285714285714285,9720,2018,2023
WDI,AG.PRD.CROP.XD,SeriesName=Crop production index (2014-2016 = 100),0.14285714285714285,9720,2018,2023
WDI,AG.PRD.FOOD.XD,SeriesName=Food production index (2014-2016 = 100),0.14285714285714285,9720,2018,2023
WDI,AG.PRD.LVSK.XD,SeriesName=Livestock production index (2014-2016 = 100),0.14285714285714285,9720,2018,2023
WDI,AG.SRF.TOTL.K2,SeriesName=Surface area (sq. km),0.1439153439153439,9708,2018,2023
WDI,AG.YLD.CREL.KG,SeriesName=Cereal yield (kg per hectare),0.14814814814814814,9660,2018,2023
WDI,BG.GSR.NFSV.GD.ZS,SeriesName=Trade in services (% of GDP),0.18624338624338624,9228,2018,2023
WDI,BM.GSR.CMCP.ZS,"SeriesName=Communications, computer, etc. (% of service imports, BoP)",0.19365079365079366,9144,2018,2023
WDI,BM.GSR.FCTY.CD,"SeriesName=Primary income payments (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BM.GSR.GNFS.CD,"SeriesName=Imports of goods and services (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BM.GSR.INSF.ZS,"SeriesName=Insurance and financial services (% of service imports, BoP)",0.19365079365079366,9144,2018,2023
WDI,BM.GSR.MRCH.CD,"SeriesName=Goods imports (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BM.GSR.NFSV.CD,"SeriesName=Service imports (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BM.GSR.ROYL.CD,"SeriesName=Charges for the use of intellectual property, payments (BoP, current US$)",0.28888888888888886,8064,2018,2023
WDI,BM.GSR.TOTL.CD,"SeriesName=Imports of goods, services and primary income (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BM.GSR.TRAN.ZS,"SeriesName=Transport services (% of service imports, BoP)",0.19365079365079366,9144,2018,2023
WDI,BM.GSR.TRVL.ZS,"SeriesName=Travel services (% of service imports, BoP)",0.19365079365079366,9144,2018,2023
WDI,BM.KLT.DINV.CD.WD,"SeriesName=Foreign direct investment, net outflows (BoP, current US$)",0.2074074074074074,8988,2018,2023
WDI,BM.KLT.DINV.WD.GD.ZS,"SeriesName=Foreign direct investment, net outflows (% of GDP)",0.20846560846560847,8976,2018,2023
WDI,BM.TRF.PRVT.CD,"SeriesName=Secondary income, other sectors, payments (BoP, current US$)",0.2,9072,2018,2023
WDI,BM.TRF.PWKR.CD.DT,"SeriesName=Personal remittances, paid (current US$)",0.19894179894179895,9084,2018,2023
WDI,BN.CAB.XOKA.CD,"SeriesName=Current account balance (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.CAB.XOKA.GD.ZS,SeriesName=Current account balance (% of GDP),0.18624338624338624,9228,2018,2023
WDI,BN.FIN.TOTL.CD,"SeriesName=Net financial account (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.GSR.FCTY.CD,"SeriesName=Net primary income (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.GSR.GNFS.CD,"SeriesName=Net trade in goods and services (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.GSR.MRCH.CD,"SeriesName=Net trade in goods (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.KAC.EOMS.CD,"SeriesName=Net errors and omissions (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.KLT.DINV.CD,"SeriesName=Foreign direct investment, net (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.KLT.PTXL.CD,"SeriesName=Portfolio investment, net (BoP, current US$)",0.22328042328042327,8808,2018,2023
WDI,BN.RES.INCL.CD,"SeriesName=Reserves and related items (BoP, current US$)",0.1873015873015873,9216,2018,2023
WDI,BN.TRF.CURR.CD,"SeriesName=Net secondary income (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BN.TRF.KOGT.CD,"SeriesName=Net capital account (BoP, current US$)",0.24232804232804234,8592,2018,2023
WDI,BX.GRT.EXTA.CD.WD,"SeriesName=Grants, excluding technical cooperation (BoP, current US$)",0.4211640211640212,6564,2018,2023
WDI,BX.GRT.TECH.CD.WD,"SeriesName=Technical cooperation grants (BoP, current US$)",0.4211640211640212,6564,2018,2023
WDI,BX.GSR.CCIS.CD,"SeriesName=ICT service exports (BoP, current US$)",0.19576719576719576,9120,2018,2023
WDI,BX.GSR.CCIS.ZS,"SeriesName=ICT service exports (% of service exports, BoP)",0.19576719576719576,9120,2018,2023
WDI,BX.GSR.CMCP.ZS,"SeriesName=Communications, computer, etc. (% of service exports, BoP)",0.19365079365079366,9144,2018,2023
WDI,BX.GSR.FCTY.CD,"SeriesName=Primary income receipts (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BX.GSR.GNFS.CD,"SeriesName=Exports of goods and services (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BX.GSR.INSF.ZS,"SeriesName=Insurance and financial services (% of service exports, BoP)",0.20634920634920634,9000,2018,2023
WDI,BX.GSR.MRCH.CD,"SeriesName=Goods exports (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BX.GSR.NFSV.CD,"SeriesName=Service exports (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BX.GSR.ROYL.CD,"SeriesName=Charges for the use of intellectual property, receipts (BoP, current US$)",0.39470899470899473,6864,2018,2023
WDI,BX.GSR.TOTL.CD,"SeriesName=Exports of goods, services and primary income (BoP, current US$)",0.18624338624338624,9228,2018,2023
WDI,BX.GSR.TRAN.ZS,"SeriesName=Transport services (% of service exports, BoP)",0.19365079365079366,9144,2018,2023
WDI,BX.GSR.TRVL.ZS,"SeriesName=Travel services (% of service exports, BoP)",0.19470899470899472,9132,2018,2023
WDI,BX.KLT.DINV.CD.WD,"SeriesName=Foreign direct investment, net inflows (BoP, current US$)",0.1523809523809524,9612,2018,2023
WDI,BX.KLT.DINV.WD.GD.ZS,"SeriesName=Foreign direct investment, net inflows (% of GDP)",0.15343915343915343,9600,2018,2023
WDI,BX.PEF.TOTL.CD.WD,"SeriesName=Portfolio equity, net inflows (BoP, current US$)",0.24126984126984127,8604,2018,2023
WDI,BX.TRF.CURR.CD,"SeriesName=Secondary income receipts (BoP, current US$)",0.19894179894179895,9084,2018,2023
WDI,BX.TRF.PWKR.CD,"SeriesName=Personal transfers, receipts (BoP, current US$)",0.30264550264550266,7908,2018,2023
WDI,BX.TRF.PWKR.CD.DT,"SeriesName=Personal remittances, received (current US$)",0.1492063492063492,9648,2018,2023
WDI,BX.TRF.PWKR.DT.GD.ZS,"SeriesName=Personal remittances, received (% of GDP)",0.15343915343915343,9600,2018,2023
WDI,CC.EST,SeriesName=Control of Corruption: Estimate,0.1492063492063492,9648,2018,2023
WDI,CC.NO.SRC,SeriesName=Control of Corruption: Number of Sources,0.1492063492063492,9648,2018,2023
WDI,CC.PER.RNK,SeriesName=Control of Corruption: Percentile Rank,0.1492063492063492,9648,2018,2023
WDI,CC.PER.RNK.LOWER,"SeriesName=Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",0.1492063492063492,9648,2018,2023
WDI,CC.PER.RNK.UPPER,"SeriesName=Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",0.1492063492063492,9648,2018,2023
WDI,CC.STD.ERR,SeriesName=Control of Corruption: Standard Error,0.1492063492063492,9648,2018,2023
WDI,DC.DAC.AUSL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Australia (current US$)",0.4846560846560847,5844,2018,2023
WDI,DC.DAC.AUTL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Austria (current US$)",0.4634920634920635,6084,2018,2023
WDI,DC.DAC.CANL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Canada (current US$)",0.42433862433862435,6528,2018,2023
WDI,DC.DAC.CECL.CD,"SeriesName=Net bilateral aid flows from DAC donors, European Union institutions (current US$)",0.4211640211640212,6564,2018,2023
WDI,DC.DAC.CHEL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Switzerland (current US$)",0.47195767195767196,5988,2018,2023
WDI,DC.DAC.DEUL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Germany (current US$)",0.4275132275132275,6492,2018,2023
WDI,DC.DAC.ESPL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Spain (current US$)",0.48148148148148145,5880,2018,2023
WDI,DC.DAC.FRAL.CD,"SeriesName=Net bilateral aid flows from DAC donors, France (current US$)",0.42433862433862435,6528,2018,2023
WDI,DC.DAC.GBRL.CD,"SeriesName=Net bilateral aid flows from DAC donors, United Kingdom (current US$)",0.4264550264550265,6504,2018,2023
WDI,DC.DAC.HUNL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Hungary (current US$)",0.5343915343915344,5280,2018,2023
WDI,DC.DAC.ITAL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Italy (current US$)",0.4624338624338624,6096,2018,2023
WDI,DC.DAC.JPNL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Japan (current US$)",0.4211640211640212,6564,2018,2023
WDI,DC.DAC.KORL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",0.4433862433862434,6312,2018,2023
WDI,DC.DAC.NORL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Norway (current US$)",0.5322751322751322,5304,2018,2023
WDI,DC.DAC.POLL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Poland (current US$)",0.5312169312169313,5316,2018,2023
WDI,DC.DAC.SWEL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Sweden (current US$)",0.4666666666666667,6048,2018,2023
WDI,DC.DAC.TOTL.CD,"SeriesName=Net bilateral aid flows from DAC donors, Total (current US$)",0.4211640211640212,6564,2018,2023
WDI,DC.DAC.USAL.CD,"SeriesName=Net bilateral aid flows from DAC donors, United States (current US$)",0.4306878306878307,6456,2018,2023
WDI,DT.DOD.DECT.CD,"SeriesName=External debt stocks, total (DOD, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.DOD.DECT.GN.ZS,SeriesName=External debt stocks (% of GNI),0.45185185185185184,6216,2018,2023
WDI,DT.DOD.DIMF.CD,"SeriesName=Use of IMF credit (DOD, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.DOD.DLXF.CD,"SeriesName=External debt stocks, long-term (DOD, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.DOD.DPNG.CD,"SeriesName=External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",0.562962962962963,4956,2018,2023
WDI,DT.DOD.DPPG.CD,"SeriesName=External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.DOD.DSTC.CD,"SeriesName=External debt stocks, short-term (DOD, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.DOD.DSTC.IR.ZS,SeriesName=Short-term debt (% of total reserves),0.5068783068783069,5592,2018,2023
WDI,DT.DOD.DSTC.XP.ZS,"SeriesName=Short-term debt (% of exports of goods, services and primary income)",0.4783068783068783,5916,2018,2023
WDI,DT.DOD.DSTC.ZS,SeriesName=Short-term debt (% of total external debt),0.44761904761904764,6264,2018,2023
WDI,DT.DOD.MIDA.CD,"SeriesName=PPG, IDA (DOD, current US$)",0.5513227513227513,5088,2018,2023
WDI,DT.DOD.MWBG.CD,"SeriesName=IBRD loans and IDA credits (DOD, current US$)",0.455026455026455,6180,2018,2023
WDI,DT.NFL.BLAT.CD,"SeriesName=Net financial flows, bilateral (NFL, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.NFL.DPNG.CD,"SeriesName=Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",0.5724867724867725,4848,2018,2023
WDI,DT.NFL.FAOG.CD,"SeriesName=Net official flows from UN agencies, FAO (current US$)",0.5216931216931217,5424,2019,2023
WDI,DT.NFL.IAEA.CD,"SeriesName=Net official flows from UN agencies, IAEA (current US$)",0.49206349206349204,5760,2018,2023
WDI,DT.NFL.IFAD.CD,"SeriesName=Net official flows from UN agencies, IFAD (current US$)",0.5671957671957671,4908,2018,2023
WDI,DT.NFL.ILOG.CD,"SeriesName=Net official flows from UN agencies, ILO (current US$)",0.42962962962962964,6468,2018,2023
WDI,DT.NFL.MIDA.CD,"SeriesName=Net financial flows, IDA (NFL, current US$)",0.5523809523809524,5076,2018,2023
WDI,DT.NFL.MLAT.CD,"SeriesName=Net financial flows, multilateral (NFL, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.NFL.MOTH.CD,"SeriesName=Net financial flows, others (NFL, current US$)",0.4783068783068783,5916,2018,2023
WDI,DT.NFL.NIFC.CD,"SeriesName=IFC, private nonguaranteed (NFL, US$)",0.4582010582010582,6144,2018,2023
WDI,DT.NFL.OFFT.CD,"SeriesName=PPG, official creditors (NFL, US$)",0.44761904761904764,6264,2018,2023
WDI,DT.NFL.PCBK.CD,"SeriesName=PPG, commercial banks (NFL, current US$)",0.5746031746031746,4824,2018,2023
WDI,DT.NFL.PCBO.CD,"SeriesName=Commercial banks and other lending (PPG + PNG) (NFL, current US$)",0.5746031746031746,4824,2018,2023
WDI,DT.NFL.PNGC.CD,"SeriesName=PNG, commercial banks and other creditors (NFL, current US$)",0.5735449735449736,4836,2018,2023
WDI,DT.NFL.PRVT.CD,"SeriesName=PPG, private creditors (NFL, US$)",0.5248677248677248,5388,2018,2023
WDI,DT.NFL.RDBC.CD,"SeriesName=Net financial flows, RDB concessional (NFL, current US$)",0.580952380952381,4752,2018,2023
WDI,DT.NFL.RDBN.CD,"SeriesName=Net financial flows, RDB nonconcessional (NFL, current US$)",0.5915343915343916,4632,2018,2023
WDI,DT.NFL.UNCF.CD,"SeriesName=Net official flows from UN agencies, UNICEF (current US$)",0.45925925925925926,6132,2018,2023
WDI,DT.NFL.UNDP.CD,"SeriesName=Net official flows from UN agencies, UNDP (current US$)",0.4380952380952381,6372,2018,2023
WDI,DT.NFL.UNFP.CD,"SeriesName=Net official flows from UN agencies, UNFPA (current US$)",0.4740740740740741,5964,2018,2023
WDI,DT.NFL.WHOL.CD,"SeriesName=Net official flows from UN agencies, WHO (current US$)",0.4222222222222222,6552,2018,2023
WDI,DT.ODA.ALLD.CD,SeriesName=Net official development assistance and official aid received (current US$),0.41904761904761906,6588,2018,2023
WDI,DT.ODA.ALLD.KD,SeriesName=Net official development assistance and official aid received (constant 2021 US$),0.41904761904761906,6588,2018,2023
WDI,DT.ODA.ODAT.CD,SeriesName=Net official development assistance received (current US$),0.4211640211640212,6564,2018,2023
WDI,DT.ODA.ODAT.GI.ZS,SeriesName=Net ODA received (% of gross capital formation),0.47513227513227513,5952,2018,2023
WDI,DT.ODA.ODAT.GN.ZS,SeriesName=Net ODA received (% of GNI),0.4253968253968254,6516,2018,2023
WDI,DT.ODA.ODAT.KD,SeriesName=Net official development assistance received (constant 2021 US$),0.4211640211640212,6564,2018,2023
WDI,DT.ODA.ODAT.MP.ZS,"SeriesName=Net ODA received (% of imports of goods, services and primary income)",0.45185185185185184,6216,2018,2023
WDI,DT.ODA.ODAT.PC.ZS,SeriesName=Net ODA received per capita (current US$),0.4211640211640212,6564,2018,2023
WDI,DT.TDS.DECT.CD,"SeriesName=Debt service on external debt, total (TDS, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.TDS.DECT.EX.ZS,"SeriesName=Total debt service (% of exports of goods, services and primary income)",0.4582010582010582,6144,2018,2023
WDI,DT.TDS.DECT.GN.ZS,SeriesName=Total debt service (% of GNI),0.45185185185185184,6216,2018,2023
WDI,DT.TDS.DIMF.CD,"SeriesName=IMF repurchases and charges (TDS, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.TDS.DPPF.XP.ZS,"SeriesName=Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.4582010582010582,6144,2018,2023
WDI,DT.TDS.DPPG.CD,"SeriesName=Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.TDS.DPPG.GN.ZS,SeriesName=Public and publicly guaranteed debt service (% of GNI),0.45185185185185184,6216,2018,2023
WDI,DT.TDS.DPPG.XP.ZS,"SeriesName=Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",0.4783068783068783,5916,2018,2023
WDI,DT.TDS.MLAT.CD,"SeriesName=Multilateral debt service (TDS, current US$)",0.44761904761904764,6264,2018,2023
WDI,DT.TDS.MLAT.PG.ZS,SeriesName=Multilateral debt service (% of public and publicly guaranteed debt service),0.44761904761904764,6264,2018,2023
WDI,EG.CFT.ACCS.RU.ZS,"SeriesName=Access to clean fuels and technologies for cooking, rural (% of rural population)",0.16825396825396827,9432,2018,2023
WDI,EG.CFT.ACCS.UR.ZS,"SeriesName=Access to clean fuels and technologies for cooking, urban (% of urban population)",0.16825396825396827,9432,2018,2023
WDI,EG.CFT.ACCS.ZS,SeriesName=Access to clean fuels and technologies for cooking (% of population),0.16825396825396827,9432,2018,2023
WDI,EG.EGY.PRIM.PP.KD,SeriesName=Energy intensity level of primary energy (MJ/$2017 PPP GDP),0.20846560846560847,8976,2018,2023
WDI,EG.ELC.ACCS.RU.ZS,"SeriesName=Access to electricity, rural (% of rural population)",0.17354497354497356,9372,2018,2023
WDI,EG.ELC.ACCS.UR.ZS,"SeriesName=Access to electricity, urban (% of urban population)",0.1492063492063492,9648,2018,2023
WDI,EG.ELC.ACCS.ZS,SeriesName=Access to electricity (% of population),0.14285714285714285,9720,2018,2023
WDI,EG.ELC.COAL.ZS,SeriesName=Electricity production from coal sources (% of total),0.21164021164021163,8940,2018,2023
WDI,EG.ELC.FOSL.ZS,"SeriesName=Electricity production from oil, gas and coal sources (% of total)",0.17671957671957672,9336,2018,2023
WDI,EG.ELC.HYRO.ZS,SeriesName=Electricity production from hydroelectric sources (% of total),0.17777777777777778,9324,2018,2023
WDI,EG.ELC.LOSS.ZS,SeriesName=Electric power transmission and distribution losses (% of output),0.26455026455026454,8340,2018,2023
WDI,EG.ELC.NGAS.ZS,SeriesName=Electricity production from natural gas sources (% of total),0.18941798941798943,9192,2018,2023
WDI,EG.ELC.NUCL.ZS,SeriesName=Electricity production from nuclear sources (% of total),0.2582010582010582,8412,2018,2023
WDI,EG.ELC.PETR.ZS,SeriesName=Electricity production from oil sources (% of total),0.17142857142857143,9396,2018,2023
WDI,EG.ELC.RNEW.ZS,SeriesName=Renewable electricity output (% of total electricity output),0.30158730158730157,7920,2018,2022
WDI,EG.ELC.RNWX.KH,"SeriesName=Electricity production from renewable sources, excluding hydroelectric (kWh)",0.2857142857142857,8100,2018,2022
WDI,EG.ELC.RNWX.ZS,"SeriesName=Electricity production from renewable sources, excluding hydroelectric (% of total)",0.2857142857142857,8100,2018,2022
WDI,EG.FEC.RNEW.ZS,SeriesName=Renewable energy consumption (% of total final energy consumption),0.26031746031746034,8388,2018,2023
WDI,EG.GDP.PUSE.KO.PP,SeriesName=GDP per unit of energy use (PPP $ per kg of oil equivalent),0.2698412698412698,8280,2018,2023
WDI,EG.GDP.PUSE.KO.PP.KD,SeriesName=GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),0.2698412698412698,8280,2018,2023
WDI,EG.IMP.CONS.ZS,"SeriesName=Energy imports, net (% of energy use)",0.2984126984126984,7956,2018,2023
WDI,EG.USE.COMM.CL.ZS,SeriesName=Alternative and nuclear energy (% of total energy use),0.2634920634920635,8352,2018,2023
WDI,EG.USE.COMM.FO.ZS,SeriesName=Fossil fuel energy consumption (% of total),0.2634920634920635,8352,2018,2023
WDI,EG.USE.COMM.GD.PP.KD,"SeriesName=Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",0.2698412698412698,8280,2018,2023
WDI,EG.USE.CRNW.ZS,SeriesName=Combustible renewables and waste (% of total energy),0.28888888888888886,8064,2018,2023
WDI,EG.USE.ELEC.KH.PC,SeriesName=Electric power consumption (kWh per capita),0.2634920634920635,8352,2018,2023
WDI,EG.USE.PCAP.KG.OE,SeriesName=Energy use (kg of oil equivalent per capita),0.2634920634920635,8352,2018,2023
WDI,EN.ATM.PM25.MC.M3,"SeriesName=PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.4328042328042328,6432,2018,2021
WDI,EN.GHG.ALL.LU.MT.CE.AR5,SeriesName=Total greenhouse gas emissions including LULUCF (Mt CO2e),0.19365079365079366,9144,2018,2023
WDI,EN.GHG.ALL.MT.CE.AR5,SeriesName=Total greenhouse gas emissions excluding LULUCF (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.ALL.PC.CE.AR5,SeriesName=Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.AG.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Agriculture (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.BU.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Building (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.FE.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.IC.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.IP.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Industrial Processes (Mt CO2e),0.5301587301587302,5328,2018,2023
WDI,EN.GHG.CH4.MT.CE.AR5,SeriesName=Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.PI.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.TR.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Transport (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.WA.MT.CE.AR5,SeriesName=Methane (CH4) emissions from Waste (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CH4.ZG.AR5,SeriesName=Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.AG.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),0.42857142857142855,6480,2018,2023
WDI,EN.GHG.CO2.BU.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.FE.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),0.15555555555555556,9576,2018,2023
WDI,EN.GHG.CO2.IC.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.IP.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.LU.DF.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),0.2,9072,2018,2023
WDI,EN.GHG.CO2.LU.FL.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),0.19153439153439153,9168,2018,2023
WDI,EN.GHG.CO2.LU.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),0.1873015873015873,9216,2018,2023
WDI,EN.GHG.CO2.LU.OL.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),0.28253968253968254,8136,2018,2023
WDI,EN.GHG.CO2.LU.OS.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),0.37566137566137564,7080,2018,2023
WDI,EN.GHG.CO2.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.PC.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.PI.MT.CE.AR5,SeriesName=Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1492063492063492,9648,2018,2023
WDI,EN.GHG.CO2.RT.GDP.KD,SeriesName=Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),0.15555555555555556,9576,2018,2023
WDI,EN.GHG.CO2.RT.GDP.PP.KD,SeriesName=Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.1619047619047619,9504,2018,2023
